当前股票 601600 股票名字 中国铝业 评级为: A  .............. i =1 , i的余数为 1
当前股票 300104 股票名字 乐视网 评级为: C- .............. i =2 , i的余数为 0
当前股票 000816 股票名字 智慧农业 评级为: D+ .............. i =3 , i的余数为 1
当前股票 300077 股票名字 国民技术 评级为: B  .............. i =4 , i的余数为 0
当前股票 300156 股票名字 神雾环保 评级为: A+ .............. i =5 , i的余数为 1
当前股票 300208 股票名字 恒顺众昇 评级为: B  .............. i =6 , i的余数为 0
当前股票 000820 股票名字 神雾节能 评级为: B+ .............. i =7 , i的余数为 1
当前股票 002077 股票名字 大港股份 评级为: B- .............. i =8 , i的余数为 0
当前股票 600332 股票名字 白云山 评级为: A+ .............. i =9 , i的余数为 1
当前股票 002806 股票名字 华锋股份 评级为: B- .............. i =10 , i的余数为 0
当前股票 603773 股票名字 沃格光电 评级为: A+ .............. i =11 , i的余数为 1
当前股票 603729 股票名字 龙韵股份 评级为: B+ .............. i =12 , i的余数为 0
当前股票 603301 股票名字 振德医疗 评级为: B+ .............. i =13 , i的余数为 1
当前股票 002931 股票名字 锋龙股份 评级为: A  .............. i =14 , i的余数为 0
当前股票 603937 股票名字 丽岛新材 评级为: B+ .............. i =15 , i的余数为 1
当前股票 603876 股票名字 鼎胜新材 评级为: A- .............. i =16 , i的余数为 0
当前股票 300634 股票名字 彩讯股份 评级为: A  .............. i =17 , i的余数为 1
当前股票 300715 股票名字 凯伦股份 评级为: B+ .............. i =18 , i的余数为 0
当前股票 002631 股票名字 德尔未来 评级为: B- .............. i =19 , i的余数为 1
当前股票 603527 股票名字 众源新材 评级为: B+ .............. i =20 , i的余数为 0
当前股票 300546 股票名字 雄帝科技 评级为: A  .............. i =21 , i的余数为 1
当前股票 600459 股票名字 贵研铂业 评级为: B  .............. i =22 , i的余数为 0
当前股票 000807 股票名字 云铝股份 评级为: B+ .............. i =23 , i的余数为 1
当前股票 300333 股票名字 兆日科技 评级为: B- .............. i =24 , i的余数为 0
当前股票 600555 股票名字 海航创新 评级为: C  .............. i =25 , i的余数为 1
当前股票 600468 股票名字 百利电气 评级为: B  .............. i =26 , i的余数为 0
当前股票 300116 股票名字 坚瑞沃能 评级为: B  .............. i =27 , i的余数为 1
当前股票 600715 股票名字 文投控股 评级为: D- .............. i =28 , i的余数为 0
当前股票 002509 股票名字 天广中茂 评级为: B- .............. i =29 , i的余数为 1
当前股票 002290 股票名字 中科新材 评级为: C  .............. i =30 , i的余数为 0
当前股票 000933 股票名字 神火股份 评级为: A  .............. i =31 , i的余数为 1
当前股票 603181 股票名字 皇马科技 评级为: A- .............. i =32 , i的余数为 0
当前股票 300330 股票名字 华虹计通 评级为: B  .............. i =33 , i的余数为 1
当前股票 300484 股票名字 蓝海华腾 评级为: B- .............. i =34 , i的余数为 0
当前股票 002824 股票名字 和胜股份 评级为: B+ .............. i =35 , i的余数为 1
当前股票 603958 股票名字 哈森股份 评级为: B- .............. i =36 , i的余数为 0
当前股票 603009 股票名字 北特科技 评级为: B- .............. i =37 , i的余数为 1
当前股票 002734 股票名字 利民股份 评级为: A  .............. i =38 , i的余数为 0
当前股票 002076 股票名字 雪 莱 特 评级为: C  .............. i =39 , i的余数为 1
当前股票 600456 股票名字 宝钛股份 评级为: C- .............. i =40 , i的余数为 0
当前股票 000605 股票名字 渤海股份 评级为: A- .............. i =41 , i的余数为 1
当前股票 300132 股票名字 青松股份 评级为: A- .............. i =42 , i的余数为 0
当前股票 601222 股票名字 林洋能源 评级为: A+ .............. i =43 , i的余数为 1
当前股票 002641 股票名字 永高股份 评级为: C  .............. i =44 , i的余数为 0
当前股票 002679 股票名字 福建金森 评级为: C- .............. i =45 , i的余数为 1
当前股票 300697 股票名字 电工合金 评级为: B+ .............. i =46 , i的余数为 0
当前股票 002120 股票名字 韵达股份 评级为: A  .............. i =47 , i的余数为 1
当前股票 300428 股票名字 四通新材 评级为: A  .............. i =48 , i的余数为 0
当前股票 002023 股票名字 海特高新 评级为: C  .............. i =49 , i的余数为 1
当前股票 603688 股票名字 石英股份 评级为: A  .............. i =50 , i的余数为 0
当前股票 002134 股票名字 天津普林 评级为: B  .............. i =51 , i的余数为 1
当前股票 000710 股票名字 贝瑞基因 评级为: B+ .............. i =52 , i的余数为 0
当前股票 600595 股票名字 中孚实业 评级为: C+ .............. i =53 , i的余数为 1
当前股票 601118 股票名字 海南橡胶 评级为: C  .............. i =54 , i的余数为 0
当前股票 002476 股票名字 宝莫股份 评级为: C- .............. i =55 , i的余数为 1
当前股票 600780 股票名字 通宝能源 评级为: B- .............. i =56 , i的余数为 0
当前股票 601388 股票名字 怡球资源 评级为: B  .............. i =57 , i的余数为 1
当前股票 002389 股票名字 南洋科技 评级为: B  .............. i =58 , i的余数为 0
当前股票 600392 股票名字 盛和资源 评级为: B  .............. i =59 , i的余数为 1
当前股票 600438 股票名字 通威股份 评级为: A+ .............. i =60 , i的余数为 0
当前股票 002358 股票名字 森源电气 评级为: B  .............. i =61 , i的余数为 1
当前股票 300462 股票名字 华铭智能 评级为: B+ .............. i =62 , i的余数为 0
当前股票 600219 股票名字 南山铝业 评级为: B+ .............. i =63 , i的余数为 1
当前股票 002452 股票名字 长高集团 评级为: B- .............. i =64 , i的余数为 0
当前股票 002220 股票名字 天宝食品 评级为: C+ .............. i =65 , i的余数为 1
当前股票 600372 股票名字 中航电子 评级为: A  .............. i =66 , i的余数为 0
当前股票 300675 股票名字 建科院 评级为: B- .............. i =67 , i的余数为 1
当前股票 300159 股票名字 新研股份 评级为: A- .............. i =68 , i的余数为 0
当前股票 000858 股票名字 五 粮 液 评级为: A+ .............. i =69 , i的余数为 1
